md,rpm,wob,rop
70.0,,,
71.0,,,
72.0,,,
73.0,,,
74.0,,,
75.0,,,
76.0,,,
77.0,,,
78.0,,,
79.0,,,
80.0,,,
81.0,,,
82.0,,,
83.0,,,
84.0,,,
85.0,,,
86.0,,,
87.0,,,
88.0,,,
89.0,,,
90.0,,,
91.0,,,
92.0,,,
93.0,,,
94.0,,,
95.0,,,
96.0,,,
97.0,,,
98.0,,,
99.0,,,
100.0,,,
101.0,,,
102.0,,,
103.0,,,
104.0,,,
105.0,,,
106.0,,,
107.0,,,
108.0,,,
109.0,,,
110.0,,,
111.0,,,
112.0,,,
113.0,,,
114.0,,,
115.0,,,
116.0,,,
117.0,,,
118.0,,,
119.0,,,
120.0,,,
121.0,,,
122.0,,,
123.0,,,
124.0,,,
125.0,,,
126.0,,,
127.0,,,
128.0,,,
129.0,,,
130.0,,,
131.0,,,
132.0,,,
133.0,,,
134.0,,,
135.0,,,
136.0,,,
137.0,,,
138.0,,,
139.0,,,
140.0,,,
141.0,,,
142.0,,,
143.0,,,
144.0,5.6000000000000005,52.666666666666664,283.6000000000001
145.0,5.58383838383839,52.545454545454575,231.39393939394134
146.0,5.58383838383839,51.87878787878792,265.3333333333335
147.0,5.575384615384616,42.40000000000013,364.5333333333334
148.0,5.565811965811968,45.60606060606063,400.36363636363654
149.0,5.58383838383839,50.84848484848488,341.6969696969713
150.0,5.582222222222225,52.066666666666684,305.3333333333326
151.0,5.58383838383839,48.72727272727284,341.09090909090924
152.0,5.571717171717172,43.454545454545496,367.75757575757586
153.0,5.579797979797982,32.90909090909117,353.5757575757576
154.0,5.591111111111114,13.933333333333433,288.66666666666674
155.0,5.571717171717176,39.63636363636428,181.69696969696994
156.0,5.587878787878789,22.545454545454657,208.1212121212144
157.0,5.577777777777781,40.06666666666673,229.86666666666753
158.0,5.575757575757583,49.636363636363804,296.84848484848715
159.0,5.571717171717178,38.66666666666686,251.27272727272847
160.0,5.5717171717171725,46.24242424242415,217.21212121212193
161.0,5.580000000000003,49.13333333333342,194.40000000000003
162.0,5.581818181818185,32.24242424242447,280.2424242424243
163.0,5.5676767676767716,43.93939393939403,344.12121212121224
164.0,5.557777777777784,30.433333333333813,386.93333333333356
165.0,6.7414141414141335,48.848484848484865,247.1515151515162
166.0,12.593860556787432,51.290043290043336,125.09090909090924
167.0,15.105040650406504,46.31601731601745,128.96969696969938
168.0,15.095934959349595,23.26666666666689,254.66666666667084
169.0,15.086829268292682,26.909090909090967,265.45454545454555
170.0,15.07728997289973,29.333333333333538,306.1818181818204
171.0,15.068184281842818,22.26666666666673,331.8666666666677
172.0,15.059078590785907,24.545454545454557,279.0303030303066
173.0,15.049539295392954,19.636363636363637,285.33333333333337
174.0,15.04,16.63636363636367,377.9393939393954
175.0,15.03089430894309,22.533333333333374,340.93333333334135
176.0,15.02178861788618,53.09090909090933,128.84848484848501
177.0,15.012249322493226,55.03030303030312,131.8787878787903
178.0,15.003143631436313,61.80000000000009,104.00000000000007
179.0,14.994037940379405,46.30303030303032,94.06060606060682
180.0,14.98449864498645,55.65151515151517,68.06060606060622
181.0,14.974959349593496,56.075757575757734,98.42424242424384
182.0,14.965853658536584,43.06666666666689,152.66666666666688
183.0,14.956747967479675,47.05050505050508,166.78787878788233
184.0,14.94720867208672,44.921522921522914,104.00000000000199
185.0,14.938102981029811,44.09743589743591,187.7333333333335
186.0,14.981818181818188,36.181818181818606,294.90909090909275
187.0,14.925252525252528,17.939393939393977,303.3939393939395
188.0,14.981818181818188,15.818181818181847,349.9393939393959
189.0,14.915555555555557,24.066666666666684,191.8666666666667
190.0,14.909090909090917,39.72727272727278,102.06060606060625
191.0,14.917171717171724,46.78787878787875,92.484848484849
192.0,14.90666666666667,52.5333333333333,82.66666666666671
193.0,14.917171717171724,54.72727272727275,80.12121212121271
194.0,14.909090909090917,42.14545454545465,86.66666666666688
195.0,14.909090909090917,46.36969696969699,109.33333333333357
196.0,14.911111111111115,46.333333333333435,140.80000000000098
197.0,14.917171717171724,56.00000000000007,111.87878787878866
198.0,14.909090909090917,64.2727272727274,123.39393939393962
199.0,14.917171717171724,52.393939393939576,129.3333333333334
200.0,14.915555555555557,50.533333333333346,129.7333333333358
201.0,14.917171717171724,40.90909090909133,179.87878787878802
202.0,14.909090909090917,44.545454545454966,103.75757575757902
203.0,14.915555555555562,35.73333333333351,193.06666666667076
204.0,14.905050505050509,54.00000000000004,212.36363636363683
205.0,14.917171717171724,49.09090909090935,153.8181818181819
206.0,14.90101010101011,29.333333333333652,143.15151515151544
207.0,14.919999999999998,21.466666666666747,271.46666666666675
208.0,14.892929292929303,24.484848484848566,269.81818181818267
209.0,14.925252525252528,20.787878787878864,298.7878787878788
210.0,14.906666666666675,16.733333333333412,331.73333333333414
211.0,14.913131313131316,36.242424242424356,173.45454545455183
212.0,14.909090909090914,50.06060606060639,73.69696969697077
213.0,14.917171717171724,37.39393939393948,98.6666666666668
214.0,14.897777777777787,29.53333333333368,121.3333333333346
215.0,14.925252525252528,27.51515151515157,117.93939393939459
216.0,14.888888888888898,32.4848484848486,98.66666666666852
217.0,14.924444444444447,36.86666666666669,74.26666666666671
218.0,14.90101010101011,53.151515151515326,48.484848484849
219.0,14.917171717171724,63.51515151515172,75.87878787878803
220.0,14.901010101010108,52.000000000000064,95.39393939393985
221.0,14.924444444444447,41.266666666666765,103.20000000000009
222.0,14.892929292929306,43.03030303030331,111.39393939393976
223.0,14.933333333333335,39.418181818181786,113.45454545454545
224.0,14.880000000000013,49.506666666666725,59.466666666670605
225.0,14.917171717171724,65.5151515151517,63.51515151515162
226.0,14.909090909090917,54.03030303030332,145.33333333333647
227.0,14.917171717171724,40.96969696969712,159.1515151515153
228.0,14.8888888888889,40.700000000000145,170.93333333333487
229.0,14.925252525252528,52.84848484848499,142.30303030303037
230.0,14.896969696969704,41.75757575757652,191.87878787879353
231.0,14.897777777777787,23.600000000000286,234.00000000000114
232.0,14.870707070707082,17.454545454545563,252.36363636364587
233.0,14.313131313131334,23.878787878787936,138.9090909090911
234.0,14.75151515151516,31.27272727272733,216.4848484848487
235.0,15.004444444444449,38.733333333333356,166.1333333333334
236.0,14.991919191919193,44.181818181818194,256.7272727272735
237.0,14.995959595959597,49.87878787878796,271.27272727272924
238.0,15.0,49.06666666666681,227.3333333333334
239.0,14.977777777777789,56.848484848485015,181.33333333333363
240.0,14.983838383838394,49.727272727272954,172.7272727272694
241.0,14.98383838383839,49.48484848484855,279.2727272727286
242.0,14.99555555555556,51.80000000000005,276.4000000000015
243.0,14.997979797979804,51.81818181818187,279.0303030303049
244.0,14.975757575757587,51.742424242424335,295.75757575757603
245.0,14.997777777777785,55.18333333333337,205.33333333333348
246.0,14.981818181818191,56.24242424242439,130.18181818181878
247.0,14.997979797979804,47.63636363636373,173.09090909091182
248.0,14.987205387205394,46.43939393939399,217.93939393939428
249.0,14.980740740740751,48.750000000000014,219.46666666666684
250.0,14.989898989899,51.21212121212127,203.87878787878807
251.0,14.989898989899,52.969696969696976,107.87878787879009
252.0,15.004444444444445,61.066666666666585,45.86666666666666
253.0,14.989898989898995,60.27272727272741,79.27272727273234
254.0,14.989898989898997,54.18181818181816,123.27272727273422
255.0,14.997979797979804,56.90909090909097,77.93939393939417
256.0,15.004444444444454,55.60000000000008,84.40000000000032
257.0,15.002020202020203,52.090909090909115,101.81818181818197
258.0,14.997979797979802,55.3030303030303,103.63636363636238
259.0,14.968888888888921,57.133333333333454,81.33333333333496
260.0,14.989898989899011,60.21212121212129,85.9393939393941
261.0,14.989898989899006,67.93939393939405,112.00000000000408
262.0,15.01414141414142,68.39393939393943,87.7575757575759
263.0,14.995555555555573,63.12500000000015,105.60000000000032
264.0,14.989898989899,59.17640692640698,46.30303030303104
265.0,14.97373737373739,63.19480519480515,48.60606060606128
266.0,14.995555555555573,66.40000000000012,63.46666666666861
267.0,15.01414141414142,68.3636363636364,40.60606060606075
268.0,14.997979797979808,67.39393939393948,41.2121212121215
269.0,15.26464646464646,63.515151515151544,41.69696969697021
270.0,16.75555555555556,65.93333333333337,79.20000000000252
271.0,17.373737373737388,62.18181818181835,86.90909090909541
272.0,16.61414141414144,56.51515151515155,60.60606060606076
273.0,15.29333333333338,59.49999999999993,66.26666666666715
274.0,14.94141414141414,65.54545454545462,59.3939393939391
275.0,14.909090909090924,63.62237762237812,80.8484848484853
276.0,14.917171717171724,59.10489510489519,127.51515151515328
277.0,14.919999999999996,54.66666666666665,106.13333333333917
278.0,14.909090909090924,60.727272727272684,71.51515151515491
279.0,14.917171717171726,63.81818181818188,103.51515151515181
280.0,14.915555555555567,63.40000000000008,91.73333333333366
281.0,14.917171717171724,62.39393939393946,88.00000000000199
282.0,14.957575757575773,55.236363636363926,89.57575757576127
283.0,15.911111111111131,35.612121212122354,270.78787878787904
284.0,16.33777777777779,27.333333333333417,310.66666666667027
285.0,16.323232323232336,31.39393939393947,297.0909090909095
286.0,16.33535353535354,32.18181818181825,214.18181818181884
287.0,16.324444444444456,48.866666666666916,227.73333333333352
288.0,16.335353535353544,44.24242424242505,264.12121212121525
289.0,16.258585858585857,45.24242424242424,279.3939393939397
290.0,16.2909090909091,36.4242424242425,290.0606060606064
291.0,16.302222222222223,35.93333333333333,265.6
292.0,16.242424242424256,36.84848484848488,274.0606060606065
293.0,16.33939393939394,42.75757575757583,284.0
294.0,16.282222222222238,46.20000000000032,283.2000000000005
295.0,16.272727272727295,40.3636363636364,225.21212121212136
296.0,16.258585858585864,45.33333333333337,230.42424242424258
297.0,16.238383838383843,40.787878787878896,279.393939393944
298.0,16.264444444444443,41.66666666666683,298.6666666666723
299.0,16.24848484848485,42.5454545454548,215.63636363637914
300.0,16.25050505050506,42.424242424242685,131.63636363636394
301.0,16.231111111111126,43.46666666666671,141.06666666666715
302.0,16.242424242424256,46.424242424243126,147.51515151515196
303.0,16.25050505050506,36.24242424242431,133.5757575757626
304.0,16.323232323232336,38.78787878787886,194.4242424242513
305.0,16.34666666666667,42.8,142.26666666666665
306.0,16.31515151515153,41.93939393939406,143.2727272727277
307.0,16.2828282828283,45.33333333333333,167.63636363636388
308.0,16.28444444444446,51.200000000000124,162.80000000000172
309.0,16.339393939393943,58.121212121212125,145.93939393939453
310.0,16.250505050505065,57.21212121212133,152.727272727273
311.0,16.25050505050506,51.9393939393942,165.09090909091015
312.0,16.2488888888889,57.00000000000013,145.06666666666845
313.0,16.23434343434345,54.09090909090958,192.84848484848527
314.0,16.234343434343455,55.93939393939449,204.7272727272781
315.0,16.257777777777783,56.600000000000044,175.6000000000017
316.0,16.234343434343455,56.181818181818926,153.81818181818582
317.0,16.254545454545447,46.78787878787868,181.45454545454538
318.0,16.242424242424256,50.96969696969708,165.21212121212253
319.0,16.2488888888889,53.06666666666674,154.93333333333368
320.0,16.25050505050506,57.7342657342658,183.75757575757592
321.0,16.242424242424253,57.96270396270405,121.57575757576201
322.0,16.257777777777783,54.7925925925926,134.26666666666674
323.0,16.242424242424256,51.52188552188552,164.0000000000002
324.0,16.258585858585864,43.03030303030325,183.87878787878796
325.0,16.234343434343444,40.20000000000032,164.72727272727613
326.0,16.2488888888889,44.74666666666673,183.6000000000002
327.0,16.234343434343455,50.727272727273316,158.5454545454566
328.0,16.242424242424256,43.454545454545716,127.75757575757834
329.0,16.250505050505055,44.84848484848488,119.27272727272742
